เดิน,Walk
วิ่ง,Run
กระโดด,Jump
ซื้อของ,Go Shopping 
ไป,Go
มา,Come
ดู,Watch
อ่าน,Read
มอง,Look
เขียน,Write
เรียน,Study
ทำ,Do
พูด,Speak
ฟัง,Listen
คิด,Think
นอน,Lay down
หลับ,To be asleep 
ตื่น,Wake up
ลุก,Get up
ดม,Sniff
หยิบ,Pick up
จับ,Touch
เตะ,Kick
ตี,Hit
จิ้ม,Poke
กิน,Eat
ดูด,Suck
ชิม,Taste
เคี้ยว,Chew
ยืน,Stand
นั่ง,Sit
ต่อย,Punch
เต้น,Dance
ร้องเพลง,Sing
ร้องไห้,Cry
ยิ้ม,Smile
ตบ,Slap
ใส่,"Wear, put in, put on"
มี,Have
ฝึก,"Train, practice "
กระซิบ,Whisper 
เดินทาง,Travel
ขับ,Drive
สับ,Chop
หั่น,Slice
ว่ายน้ำ,Swim
บอก,Tell
ตะโกน,Yell
ดื่ม,Drink
เล่น,Play
โยน,Throw
ปีน,Climb
หายใจ,Breathe
เกา,Scratch 
เลีย,Lick
ปลอก,Peel
ลูบ,Pet
สาด,Splash
หัวเราะ,Laugh
ตัก,Scoop
ทำอาหาร,Cook
ล้างจาน,Doing dishes 
ซักผ้า,Doing laundry 
อาบน้ำ,Shower
