หนึ่ง,one
สอง,two
สาม,three
สี่,four
ห้า,five
หก,six
เจ็ด,seven
แปด,eight
เก้า,nine
สิบ,ten
สิบเอ็ด,eleven
ยี่สิบ,twenty
ร้อย,hundred
พัน,thousand
หมื่น,ten thousand
แสน,hundred thousand
ล้าน,million
บาท,Baht
ตังค์,money (casual)
ตังค์ทอน,change (money)
เงิน,money 
เงินสด,cash
ราคา,price
บัตรเครดิต,credit card
เบอร์โทร,phone number
เลข,number
คิด,to think
นับ,to count
บวก,plus to add
ลบ,minus
คูณ,multiply
หาร,divide
เท่ากับ,equal to
ยกกำลัง,To the power of ( exponent)
คำนวณ,to calculate
เยอะ,many
